cuisine,name,price,rating,url
Tacos,O'Tacos,$$,4.3,https://food.jumia.dz/restaurant/a6bo/otacos
Tacos Pizza,La Marguerite,$$,4.3,https://food.jumia.dz/restaurant/a4mv/la-marguerite
Tacos,La Baraque à Tacos,$,4.5,https://food.jumia.dz/restaurant/a1gq/la-baraque-a-tacos
Tacos Pizza,Mega pizza,$,4.4,https://food.jumia.dz/restaurant/a5ru/mega-pizza
Hypermarché,Mini Market,$,2.5,https://food.jumia.dz/restaurant/a7yj/cheraga-dar-diaf
Hypermarché,Superette Kheyar kouba,$,5,https://food.jumia.dz/restaurant/a9kx/superette-kheyar
Hypermarché,Seven superette,$,4.8,https://food.jumia.dz/restaurant/a5ns/seven-superette
Burger,Casse Croute Saïd Hamdine,$,4,https://food.jumia.dz/restaurant/a8xi/casse-croute-said-hamdine
Kebab Sandwichs Burger,Mâkel,$,4.1,https://food.jumia.dz/restaurant/a7uu/makel
Pizza,Pizza Happy,$,3.9,https://food.jumia.dz/restaurant/a5cm/happy-pizza
,Select,,0,https://food.jumia.dz/restaurant/a6rh/select
,Select Restaurant,,0,https://food.jumia.dz/restaurant/a9pw/select-restaurant
Burger,Lo Bueno,$,0,https://food.jumia.dz/restaurant/a2fc/lo-bueno
Grillades,Que Aproveche,$,0,https://food.jumia.dz/restaurant/a6gg/que-aproveche
Pizza,Woodpecker Barthes,$$,0,https://food.jumia.dz/restaurant/a1jo/woodpecker-barthes
Hypermarché,A 2 pas superette,$,0,https://food.jumia.dz/restaurant/a3cx/a-2-pas-superette
Hypermarché,قفة رمضان,$,2.4,https://food.jumia.dz/restaurant/a6oi/koffat-ramdane
Pizza,Jumia Food Test Restaurant 3,$,0,https://food.jumia.dz/restaurant/a9ws/jumia-food-test-restaurant-3
Pizza,Pizza Hut,$$,3.9,https://food.jumia.dz/restaurant/a3mt/pizza-hut-vendor
Pizza,Pizza Hut,$$,4.1,https://food.jumia.dz/restaurant/a3zw/pizza-hut-sidi-yahia
Tacos,Tacos Gratinados,$$,4.5,https://food.jumia.dz/restaurant/a7ls/tacos-gratinados
Cuisine Indienne,Taj Mahal Ben Aknoun,$$$,4.5,https://food.jumia.dz/restaurant/a7de/taj-mahal-ben-aknoun
Sandwichs Tacos Burger,Crispy Burger,$$,4.4,https://food.jumia.dz/restaurant/a3co/crispy-burger
Cuisine Indienne,Taj Mahal Cheraga,$$$,4.4,https://food.jumia.dz/restaurant/a0cp/taj-mahal-cheraga
Pizza,Pizza Time Sidi Yahia,$$,4.6,https://food.jumia.dz/restaurant/a9rx/pizza-time
Burger Pizza Salades Sandwichs Tacos,Lookers Restaurant & Snack,$$,4.4,https://food.jumia.dz/restaurant/a9yi/lookers-restaurant
Kebab Cuisine Orientale,Casbah Istanbul,$$$,4.6,https://food.jumia.dz/restaurant/a9gn/casbah-istanbul-ben-aknoun
Chocolat Sucré - Desserts,Crêperie Poffertjes,$,4.3,https://food.jumia.dz/restaurant/a8xs/creperie-poffertjes
Cuisine Indienne,Maharaja,$$$,4.5,https://food.jumia.dz/restaurant/a1wu/maharaja
Kebab Cuisine Orientale,Casbah Istanbul,$$$,4.4,https://food.jumia.dz/restaurant/a1ne/casbah-istanbul-bab-ezzouar
Grillades Cuisine Orientale,Val Street,$$$,4.3,https://food.jumia.dz/restaurant/a2ca/val-street
Burger Cuisine Méditerranéenne Healthy Food pâtes Salades Sucré - Desserts Pizza,Backstreet,$,4.4,https://food.jumia.dz/restaurant/a4nf/backstreet
Sandwichs Tacos Burger,Strelitzia,$$,4.4,https://food.jumia.dz/restaurant/a7fe/strelitzia
Sandwichs Sucré - Desserts Burger,Beef Burger,$,4.4,https://food.jumia.dz/restaurant/a1wn/beef-burger
Café Chocolat Glace Sucré - Desserts,Lookers Coffee,$,4.8,https://food.jumia.dz/restaurant/a8ku/lookers-coffee
Cuisine Indienne,Maharaja,$$$,4.4,https://food.jumia.dz/restaurant/a7pi/maharaja-vendor-1
Grillades Pizza Tacos Burger,American Diner,$$,4.3,https://food.jumia.dz/restaurant/a4nh/american-diner
Pâtisserie et Boulangerie Sucré - Desserts,La Patisserie by Lucas Castello- Dely Ibrahim,$,4.3,https://food.jumia.dz/restaurant/a5ge/la-patisserie-by-lucas-castello-dely-ibrahim
Chocolat Sucré - Desserts,Bubble Waffle,$,4.4,https://food.jumia.dz/restaurant/a7wk/bubble-waffle
Burger,La Plancha,$$,4.4,https://food.jumia.dz/restaurant/a0qh/la-plancha
Cuisine Méditerranéenne,La Belle Époque,$,4.3,https://food.jumia.dz/restaurant/a4wq/la-belle-epoque
Burger Tacos Pizza,Le Bucheron,$,4.6,https://food.jumia.dz/restaurant/a6iv/le-bucheron
Cuisine Algérienne Cuisine Traditionnelle,La Palmeraie,$$$,4.2,https://food.jumia.dz/restaurant/a2qh/la-palmeraie
Pizza,Miam's Pizza,$$,4.5,https://food.jumia.dz/restaurant/a7cz/miam-s-pizza
Burger,Strelitzia Hydra,$$,4.3,https://food.jumia.dz/restaurant/a7jr/strelitzia-hydra
Cuisine Orientale Grillades Libanais Pizza Salades Sandwichs Tacos Burger,Sultan,$$,4.3,https://food.jumia.dz/restaurant/a1bc/sultan
Burger,Salta3 Burger,$,4.5,https://food.jumia.dz/restaurant/a1cl/salta3-burger
Kebab,Abracadabra Kebab Chéraga,$$,4.3,https://food.jumia.dz/restaurant/a3gj/abracadabra-kebab-cheraga
Pizza,L'Atelier Du Pizzaiolo,$$,4.4,https://food.jumia.dz/restaurant/a4du/l-atelier-du-pizzaiolo
Cuisine Asiatique,La Cité Interdite,$$$,4.3,https://food.jumia.dz/restaurant/a2wk/la-cite-interdite
Burger,Mc Cool,$,4.4,https://food.jumia.dz/restaurant/a3at/mc-cool-burgers
Pizza,Paris'dza,$$$,4.7,https://food.jumia.dz/restaurant/a0xs/paris-dza
Cuisine Orientale Pizza Sandwichs,Spuntino- Cuisine Tunisenne,$,4,https://food.jumia.dz/restaurant/a3dn/spuntino-cuisine-tunisenne
Salades Sandwichs Tacos Fried Chicken,Spicy Chicken,$$,4.3,https://food.jumia.dz/restaurant/a7jc/spicy-chicken
Pizza,Anes Food Family,$,4.5,https://food.jumia.dz/restaurant/a9wg/anes-food-family
Glace Pizza,Yogorino & Pizza au Feu de Bois,$$,4.3,https://food.jumia.dz/restaurant/a3ih/yogorino
Pizza,Al Forno,$$,4.3,https://food.jumia.dz/restaurant/a7wj/al-forno-vendor-2
Cuisine Indienne,Maharaja,$$$,4.3,https://food.jumia.dz/restaurant/a3li/maharaja-vendor
Pizza,Pizza Domino,$$,4.2,https://food.jumia.dz/restaurant/a6wf/pizza-domino
Burger Tacos,So' Tacos,$,4.3,https://food.jumia.dz/restaurant/a8oj/so-tacos
Pizza,Pizza Nostra - Pizza Au Feu De Bois,$,4.4,https://food.jumia.dz/restaurant/a2mh/pizza-nostra
Healthy Food Libanais Cuisine Orientale,Cédrus Restaurant,$$,4.1,https://food.jumia.dz/restaurant/a6rb/cedrus-restaurant
Burger Pizza Sandwichs Tacos,H&M Boof,$$,4.1,https://food.jumia.dz/restaurant/a6wo/h-m-boof
Fruits de Mer Grillades Salades Pizza,Hollywood Pizza,$$,4.2,https://food.jumia.dz/restaurant/a7ib/hollywood-pizza
Sandwichs Tacos Burger,Castellane Burger,$,4.3,https://food.jumia.dz/restaurant/a3xa/castellane-burger
Pâtisserie,Pâtisserie mille délices,$$,5,https://food.jumia.dz/restaurant/a6ja/patisserie-mille-delices
Burger Sandwichs Tacos,Tamgout,$,4.2,https://food.jumia.dz/restaurant/a1pf/tamgout
Cuisine Indienne,Taste Of India,$$$,4.1,https://food.jumia.dz/restaurant/a6tn/taste-of-india
Glace Grillades Pizza,La Cabane,$$,4.1,https://food.jumia.dz/restaurant/a9ya/la-cabane
Burger Sandwichs,KYZ Frais Maison,$,4.3,https://food.jumia.dz/restaurant/a6go/kyz-frais-maison
Burger,Cesar Burgers,$,0,https://food.jumia.dz/restaurant/a6bu/cesar-burgers
Salades Pizza,La Perla Nera,$,4.5,https://food.jumia.dz/restaurant/a5am/la-perla-nera
Pizza,Forno Gusto,$$,4.2,https://food.jumia.dz/restaurant/a0gd/forno-gusto
Burger,Big American Burger,$,4.2,https://food.jumia.dz/restaurant/a4js/big-american-burger
Glace Pizza,My Pizza & Sundae,$$,4.2,https://food.jumia.dz/restaurant/a2by/my-sundae
Burger,BUTCHER Volcanic D-B,$,4.2,https://food.jumia.dz/restaurant/a2iq/butcher-volcanic-d-b
Pizza Tacos Burger,Gaza Burger,$,4.2,https://food.jumia.dz/restaurant/a7be/gaza-burger
Pizza,La Mama,$,4.3,https://food.jumia.dz/restaurant/a9qf/la-mama
Cuisine Méditerranéenne,La Cantine Dely Brahim,$,4.1,https://food.jumia.dz/restaurant/a9jw/la-cantine-dely-brahim
Chocolat Crêpes Gaufres Sucré - Desserts,Docteur Chocolat,$,4.2,https://food.jumia.dz/restaurant/a3jm/docteur-chocolat
Burger Cuisine Méditerranéenne,Le Petit Vendôme,$,4.3,https://food.jumia.dz/restaurant/a1gh/le-petit-vendome
Grillades Pizza,Woodpecker Draria,$$,3.9,https://food.jumia.dz/restaurant/a7ea/woodpecker
Pizza Cuisine Méditerranéenne,Cook's Pizzeria,$,4.1,https://food.jumia.dz/restaurant/a3zj/cook-s-pizzeria
Pizza Cuisine Méditerranéenne,Pause Restaurant,$,4.3,https://food.jumia.dz/restaurant/a9cj/pause-restaurant
Burger Pizza Salades Sandwichs Tacos,Kiddy Food,$$,4.6,https://food.jumia.dz/restaurant/a7tq/kiddy-food
Sandwichs Tacos Burger,Green snack,$$,0,https://food.jumia.dz/restaurant/a8ce/green-snack
Burger Grillades Pizza Salades Cuisine Méditerranéenne,Leonard Ben Aknoun,$$,4.1,https://food.jumia.dz/restaurant/a6gx/leonard-ben-aknoun
,CCCP,$,4.3,https://food.jumia.dz/restaurant/a2aj/cccp
Pizza,Woodpecker Barthes Hydra,$$,0,https://food.jumia.dz/restaurant/a0wp/woodpecker-barthes-hydra
Pizza Burger,Billy's,$$,4.3,https://food.jumia.dz/restaurant/a0kw/billy-s
Burger Salades Sandwichs Pizza,L'Espéranto,$$,4.1,https://food.jumia.dz/restaurant/a6fx/l-esperanto
Burger,Burger Station,$,0,https://food.jumia.dz/restaurant/a1rt/burger-station
Burger,Burger Republic,$,4.2,https://food.jumia.dz/restaurant/a3so/burger-republic
Burger Sandwichs,Marhaba Burgers & Sandwichs,$$,4.5,https://food.jumia.dz/restaurant/a7ri/marhaba-sandwichs
Burger Pizza Tacos,Elo'Tacos,$$,4.2,https://food.jumia.dz/restaurant/a2mp/elo-tacos
Pizza Sandwichs,Rocket Sandwichs,$,4.2,https://food.jumia.dz/restaurant/a0xv/rocket-sandwichs
Burger Tacos Pizza,Good Vibes,$,4.4,https://food.jumia.dz/restaurant/a9pv/good-vibes
Sandwichs,Diwan restaurant,$$,5,https://food.jumia.dz/restaurant/a9cd/diwan-restaurant
Tacos Pizza,Pizza Point,$,4.3,https://food.jumia.dz/restaurant/a0if/pizza-point
Pizza,Savannah Pizzas,$$,0,https://food.jumia.dz/restaurant/a8yn/savannah-pizzas
Sandwichs Burger,B Burger,$,4.3,https://food.jumia.dz/restaurant/a1lm/b-burger
Burger Kebab Libanais Sandwichs Tacos Pizza,Family Food,$,4.1,https://food.jumia.dz/restaurant/a9id/family-food
Glace Libanais Sucré - Desserts,Waffleshot,$,4.2,https://food.jumia.dz/restaurant/a0qq/waffleshot
Burger Salades Sandwichs Tacos,Rostom,$,3,https://food.jumia.dz/restaurant/a3pp/rostom
Kebab,Oui Oui Döner Cheraga,$,4,https://food.jumia.dz/restaurant/a3gz/oui-oui-doner-cheraga
Libanais Burger,Laser Food- by Laser Strike,$$,3.8,https://food.jumia.dz/restaurant/a6co/laser-strike
Sushi Cuisine Asiatique,Wok Street,$$$,4.5,https://food.jumia.dz/restaurant/a3sc/wok-street
Sushi Cuisine Asiatique,La Cité Asiatique,$$$,4.3,https://food.jumia.dz/restaurant/a9en/la-cite-asiatique
Burger Pizza Sandwichs Tacos,Central Up,$,3.7,https://food.jumia.dz/restaurant/a6ed/central-up
Kebab,Abracadabra Döner Kebab,$$,4.2,https://food.jumia.dz/restaurant/a6jb/abracadabra-kabab
Pâtisserie et Boulangerie Sucré - Desserts,La Patisserie by Lucas Castello- Hydra,$,4.5,https://food.jumia.dz/restaurant/a3gw/la-patisserie-by-lucas-castello-hydra
Cuisine Orientale,Restaurant Divan,$$,4,https://food.jumia.dz/restaurant/a1iy/restaurant-divan
Salades Healthy Food,Fresh Cook,$,2.7,https://food.jumia.dz/restaurant/a1xh/fresh-cook
Salades Sandwichs Tacos Burger,The Grill,$,5,https://food.jumia.dz/restaurant/a9hy/the-grill
Cuisine Asiatique,Sushi Ball,$$,4.2,https://food.jumia.dz/restaurant/a7lg/sushi-ball
Grillades Pizza Salades Sandwichs Cuisine Méditerranéenne,Chic Chic Restaurant,$$,4.1,https://food.jumia.dz/restaurant/a5ap/chic-chic-restaurant
Cuisine Française Poissons Cuisine Méditerranéenne,L'Avenue,$$,3.9,https://food.jumia.dz/restaurant/a2mk/l-avenue
Poissons,La Cale,$,4.5,https://food.jumia.dz/restaurant/a0va/la-cale
Burger Grillades pâtes Salades Cuisine Méditerranéenne,Scottish,$$,4.5,https://food.jumia.dz/restaurant/a6dh/scottish
Cuisine Indienne,Papadum Indian Food,$$,4.4,https://food.jumia.dz/restaurant/a9nn/papadum-indian-food-vendor
Paella Salades Poissons,Restaurant Poisson Warsnis,$$,4.6,https://food.jumia.dz/restaurant/a2hb/restaurant-poisson-warsnis
Burger Salades Tacos Sandwichs,Le Coq,$,0,https://food.jumia.dz/restaurant/a1nu/le-coq
Sandwichs Burger,American Burger,$$,4.2,https://food.jumia.dz/restaurant/a9sl/american-burger
Cuisine Algérienne Cuisine Traditionnelle,Le Tajine,$$,4.1,https://food.jumia.dz/restaurant/a4xt/le-tajine
Cuisine Méditerranéenne,White Dream restaurant,$$,4,https://food.jumia.dz/restaurant/a6zk/white-dream-restaurant
Healthy Food pâtes Salades Cuisine Méditerranéenne,Fast Pasta,$$,4,https://food.jumia.dz/restaurant/a1lt/fast-pasta
Fried Chicken,Chicken Chicken,$$,4,https://food.jumia.dz/restaurant/a1hg/chicken-chicken
Cuisine Orientale,Diwan El Bacha,$$,3.6,https://food.jumia.dz/restaurant/a4lm/diwan-el-bacha
Burger Cuisine Méditerranéenne Fried Chicken,Lulli's,$$,4.5,https://food.jumia.dz/restaurant/a6ky/lulli-s
Cuisine Algérienne Cuisine Traditionnelle,Cooks Traditionnel,$$,3.9,https://food.jumia.dz/restaurant/a5vc/cooks-traditionnel
Fried Chicken,Hotspot restaurant,$$,4.5,https://food.jumia.dz/restaurant/a6pr/hotspot-restaurant
Burger,House Of Burgers,$,4.3,https://food.jumia.dz/restaurant/a6iq/house-of-burgers-hydra
Pizza,Pizza Time Val d'Hydra,$$,4.4,https://food.jumia.dz/restaurant/a9hs/pizza-time-val-d-hydra
Pizza,Funky Au Feu de Bois,$,4,https://food.jumia.dz/restaurant/a7hd/funky-au-feu-de-bois
Tacos,Tacos World,$$,4.1,https://food.jumia.dz/restaurant/a5dw/tacos-world
Cuisine Méditerranéenne,Arizona,$$,4.3,https://food.jumia.dz/restaurant/a0qa/arizona
Pizza,Pizza Nostra,$$,5,https://food.jumia.dz/restaurant/a1kk/pizza-nostra-draria
Burger Sandwichs Pizza,Wood Chicken,$$,4.3,https://food.jumia.dz/restaurant/a7sg/wood-chicken
Grillades Paella Pizza,Dziri Grill,$,3.9,https://food.jumia.dz/restaurant/a0eg/dziri-grill
Burger,House Of Burgers,$,4.3,https://food.jumia.dz/restaurant/a6ug/house-of-burgers-bab-zouar
Burger Pizza Tacos,Snappy,$,3.7,https://food.jumia.dz/restaurant/a9le/snappy
Tacos,Original Tacos,$,3.7,https://food.jumia.dz/restaurant/a3qm/original-tacos
Naan Tacos Sandwichs,Naan & Tacos,$$,4.4,https://food.jumia.dz/restaurant/a8dv/naan
Sandwichs Tacos Burger,La Casa Del Burger,$,4.2,https://food.jumia.dz/restaurant/a9bv/la-casa-del-burger
Sandwichs Pizza,Fratello's by Pizza Show,$,4,https://food.jumia.dz/restaurant/a2eh/fratello-s-by-pizza-show
Cuisine Méditerranéenne Burger,Shakes Burgers & Grill,$$,4.5,https://food.jumia.dz/restaurant/a2zq/shakes-burgers
Cuisine Orientale Grillades Libanais Pizza Salades Sandwichs Tacos Kebab,Sultan Express,$$,4.3,https://food.jumia.dz/restaurant/a0kv/sultan-alger-centre
Burger Pizza Sandwichs Tacos,Brother Pizza&Tacos,$$,4.2,https://food.jumia.dz/restaurant/a1vh/brother-ts
Pizza,Eaten Out Pizza,$$,4.2,https://food.jumia.dz/restaurant/a3bx/eaten-out-pizza
Burger Salades Sandwichs,Bocadillos,$,3.9,https://food.jumia.dz/restaurant/a1zk/bocadillos
Cuisine Orientale,Rest House,$,3.9,https://food.jumia.dz/restaurant/a5no/rest-house
Tacos,Tacobab,$,3.9,https://food.jumia.dz/restaurant/a3af/taco
Sandwichs Pizza,Pizzeria l'Étoile,$,4.1,https://food.jumia.dz/restaurant/a4to/pizzeria-l-etoile
Pizza,Au Feu de Bois,$$,3.9,https://food.jumia.dz/restaurant/a8gm/feu-de-bois
Tacos,La Maison du Tacos,$,4.6,https://food.jumia.dz/restaurant/a5rt/la-maison-du-tacos
Burger Pizza Salades Tacos Sandwichs,Arrabiata,$$,4,https://food.jumia.dz/restaurant/a9sd/arabiata
Grillades Sandwichs Cuisine Méditerranéenne,La Rôtisserie,$,4.1,https://food.jumia.dz/restaurant/a4bf/la-rotisserie
Burger,BUTCHER Volcanic H-Y,$,4,https://food.jumia.dz/restaurant/a9xk/butcher-volcanic-h-y
Burger Healthy Food Pizza Salades Cuisine Méditerranéenne,Le Monde,$$,4,https://food.jumia.dz/restaurant/a3jr/le-monde
Kebab,Abracadabra Kebab kouba,$$,4.1,https://food.jumia.dz/restaurant/a0et/abracadabra-kebab-kouba
Healthy Food,Salad Box,$,4.2,https://food.jumia.dz/restaurant/a0sd/salad-box
Sandwichs Tacos Cuisine Méditerranéenne,Cooks Restaurant,$,2,https://food.jumia.dz/restaurant/a1at/cooks-restaurant
Cuisine Algérienne Grillades Poissons Salades Cuisine Méditerranéenne,Le Bistrot,$,4.1,https://food.jumia.dz/restaurant/a1ea/le-bistrot
Burger Salades Sandwichs,The Wall,$,4.4,https://food.jumia.dz/restaurant/a9on/the-wall
Burger,Casse Croûte Babez,$,4.1,https://food.jumia.dz/restaurant/a7lh/casse-croute-babez
Pizza,Poppy's,$,3.6,https://food.jumia.dz/restaurant/a5ia/poppy-s
Burger Chawarma Grillades Sandwichs,Ali Baba,$$,4,https://food.jumia.dz/restaurant/a8iv/ali-baba-restaurant
Salades Sandwichs Tacos Burger,Speed Food,$,3.9,https://food.jumia.dz/restaurant/a5ue/speed-food
Cuisine Orientale Grillades Libanais Salades Sandwichs Tacos Pizza,Corner by Sultan,$$,4.1,https://food.jumia.dz/restaurant/a0cc/corner-by-sultan
Pizza,Leoncino,$$,4,https://food.jumia.dz/restaurant/a5su/leoncino
Pizza,Al Forno,$$,4.1,https://food.jumia.dz/restaurant/a4xp/al-forno-vendor-1
Burger Sandwichs Tacos Pizza,Pizzeria Il Fornello,$$,3.9,https://food.jumia.dz/restaurant/a0ts/pizzeria-il-fornello
Burger Sandwichs Tacos,Tacos+,$,4.3,https://food.jumia.dz/restaurant/a1fd/o-tacosplus
Cuisine Orientale Kebab,El Baih,$,4.2,https://food.jumia.dz/restaurant/a3ab/el-baih
Sandwichs Tacos Pizza,Mc Roux,$,4.1,https://food.jumia.dz/restaurant/a7mc/mc-roux
Burger,Dawg's,$,4.2,https://food.jumia.dz/restaurant/a4za/dawgs
Pizza,Le Rodizio Pizzeria Brésilienne,$,4.1,https://food.jumia.dz/restaurant/a5mf/le-rodizio
Burger Sandwichs Tacos,The Joker Food,$,3.9,https://food.jumia.dz/restaurant/a6pv/the-joker-fodd
Mexicain Tacos,Maracas,$,4.2,https://food.jumia.dz/restaurant/a9np/maracas
Tacos Pizza,Mandala,$,0,https://food.jumia.dz/restaurant/a9xa/mandala
Cuisine Algérienne Cuisine Traditionnelle,El Maida,$,3.7,https://food.jumia.dz/restaurant/a9bl/el-maida
Burger Tacos Sandwichs,Chick'n Beef,$,4.6,https://food.jumia.dz/restaurant/a7zj/chick-n-beef
Sandwichs Tacos Burger,California Burger,$,4.4,https://food.jumia.dz/restaurant/a6zm/california-burger
Burger Pizza,Appolino,$$,0,https://food.jumia.dz/restaurant/a4iv/appolino
Sandwichs,Chapati Tunisien,$,4.5,https://food.jumia.dz/restaurant/a1im/chapati-tunisien
Burger Sandwichs Tacos,Le Gâté,$,4.3,https://food.jumia.dz/restaurant/a8nn/le-gate
Burger Sandwichs Tacos Pizza,Dady Pizza,$$,5,https://food.jumia.dz/restaurant/a8fh/dady-pizza
Cuisine Orientale,Zahrat Dimachq,$,4.4,https://food.jumia.dz/restaurant/a4ny/zahrat-dimachq
Salades Sandwichs Tacos,Fren'cheese,$,4.2,https://food.jumia.dz/restaurant/a9an/fren-cheese
Burger Tacos Pizza,The Crossroads,$,3.5,https://food.jumia.dz/restaurant/a8ws/the-crossroads
Burger Tacos Pizza,Dos Dos Pizza & Food,$,4.3,https://food.jumia.dz/restaurant/a6al/dos-dos-pizza-food
Burger Pizza Sandwichs,Casa Bianca,$$,4,https://food.jumia.dz/restaurant/a6rp/casa-bianca
Pizza,Lamassat,$,3.6,https://food.jumia.dz/restaurant/a6fv/lamassat
Sandwichs,Classicco,$,4.7,https://food.jumia.dz/restaurant/a9xg/classicco
Burger Sandwichs Tacos Pizza,Tchikos Pizza,$$,3.7,https://food.jumia.dz/restaurant/a0nc/tchikos-pizza
Kebab,Oui Oui Döner Dely Ibrahim,$$,4.2,https://food.jumia.dz/restaurant/a3wh/oui-oui-doner-dely-ibrahim
Sandwichs Tacos Pizza,Walibi,$,4.3,https://food.jumia.dz/restaurant/a5ae/walibi
Burger Sandwichs Tacos,Tacos Dey,$,5,https://food.jumia.dz/restaurant/a2ie/tacos-dey
Chocolat Sucré - Desserts,O'Churros,$,4.4,https://food.jumia.dz/restaurant/a8lq/churros
Burger Libanais Pizza Sandwichs,Snack à Gogo,$,3.8,https://food.jumia.dz/restaurant/a3nc/snack-a-gogo-vendor
Burger Salades Tacos Pizza,Brooklyn,$,3.9,https://food.jumia.dz/restaurant/a2lj/brooklyn
Sandwichs Tacos Pizza,Ramo Pizza,$,4,https://food.jumia.dz/restaurant/a7nf/ramos-pizza
Burger Grillades Pizza Salades Cuisine Méditerranéenne,Leonard City Center,$$,3.9,https://food.jumia.dz/restaurant/a9qg/leonard-city-center
Pizza Sandwichs,Makloub Dely Brahim,$,4.3,https://food.jumia.dz/restaurant/a9dh/mekloub-dely-brahim
Cuisine Méditerranéenne Pizza Sandwichs Burger,Fresh Burger,$,3.9,https://food.jumia.dz/restaurant/a0ow/fresh-burger-1
Burger Chocolat Tacos,Mio Mondo,$,3.8,https://food.jumia.dz/restaurant/a1gr/mio-mondo
Salades Sandwichs Tacos Burger,Food Truck,$,3.8,https://food.jumia.dz/restaurant/a8qw/food-truck
Kebab Sandwichs Pizza,Le Grenier,$,4.1,https://food.jumia.dz/restaurant/a2om/le-grenier
Sandwichs,Maza snack,$$,4.1,https://food.jumia.dz/restaurant/a6lc/maza-snack
Tacos,Del Tacos,$,4,https://food.jumia.dz/restaurant/a7nx/del-tacos
,De Legna Pizzas,,0,https://food.jumia.dz/restaurant/a5dd/de-legna-pizzas
Cuisine Algérienne,Taghit,$$$,3.5,https://food.jumia.dz/restaurant/a6tm/taghit
Café Glace Libanais Chocolat,Double U,$,3.8,https://food.jumia.dz/restaurant/a5is/double-u
Sandwichs Tacos Pizza,Erriane Restaurant,$,3,https://food.jumia.dz/restaurant/a8oc/erriane-restaurant
Grillades Pizza Salades Cuisine Méditerranéenne,Fast Provence,$,2.3,https://food.jumia.dz/restaurant/a0ah/fast-provence
Salades Pizza,Gum Gum Pizza,$,4,https://food.jumia.dz/restaurant/a6th/gum-gum-pizza
Cuisine Orientale Pizza,Holiday Inn Restaurant,$,3.1,https://food.jumia.dz/restaurant/a9ed/holiday-inn
Tacos Pizza,La Pizza,$,4,https://food.jumia.dz/restaurant/a3hn/la-pizza
Cuisine Algérienne Pizza Salades Sandwichs Grillades,Le Délice,$,3.4,https://food.jumia.dz/restaurant/a0oz/le-delice
Sandwichs Cuisine Orientale,Mazaya Echam,$,3.3,https://food.jumia.dz/restaurant/a9rt/mazaya-echam
Sandwichs Tacos Burger,O Circuit,$,4,https://food.jumia.dz/restaurant/a3ff/o-circuit
,O'Seven,$,3.6,https://food.jumia.dz/restaurant/a5qk/o-sev7en
Pâtisserie et Boulangerie,Pâtisserie l'Aquarium,$,3.8,https://food.jumia.dz/restaurant/a0jp/patisserie-l-aquarium
Cuisine Indienne,Taste Of India,$$$,3.4,https://food.jumia.dz/restaurant/a4st/taste-of-india-vendor
Sandwichs Pizza,Twin Pizza,$$,3.5,https://food.jumia.dz/restaurant/a3yy/twin-pizza
Pizza,Virtual Pizza- by Virtual Game,$,3.7,https://food.jumia.dz/restaurant/a7vn/virtual-pizza-by-virtual-game
Pizza,Le Mirage,$$,0,https://food.jumia.dz/restaurant/a1em/le-mirage
Pizza,16 éme arrondissement,$$,3.4,https://food.jumia.dz/restaurant/a8sa/16-eme-arrondissement
Burger,Boss burger,$,0,https://food.jumia.dz/restaurant/a8zr/boss-burger
Salades Pizza,Broccoli Pizza and Pasta,$,3.9,https://food.jumia.dz/restaurant/a0kq/broccoli-pizza-and-pasta
Pizza,Gusto Pizza,$$,3.9,https://food.jumia.dz/restaurant/a0sx/gusto
Burger Pizza,Hélios Snack,$,3.5,https://food.jumia.dz/restaurant/a6mc/helios-chili-food
Pizza,Pizzeria le four,$$,0,https://food.jumia.dz/restaurant/a2uh/pizzeria-le-four
Burger,Showcase,$$,0,https://food.jumia.dz/restaurant/a9mp/showcase
Pizza,Uphoria,$,3.5,https://food.jumia.dz/restaurant/a5hj/uphoria
Kebab Grillades,Woody Grill,$$,0,https://food.jumia.dz/restaurant/a3mj/woody-grill
Cuisine Méditerranéenne,Le Voutain,$$,0,https://food.jumia.dz/restaurant/a7qs/le-voutain
Pizza,Al Forno,$$,4,https://food.jumia.dz/restaurant/a4te/al-forno-vendor
Healthy Food,Saha Oua Djawda,$,4.5,https://food.jumia.dz/restaurant/a5kr/saha-oua-djawda
Libanais Cuisine Algérienne Grillades Pizza Salades,Loft,$$,3.6,https://food.jumia.dz/restaurant/a3uq/le-loft
Sandwichs,Big Bag,$$,3.7,https://food.jumia.dz/restaurant/a0qp/big-bagnew
Pizza,Taxi Pizza,$$,3.4,https://food.jumia.dz/restaurant/a9mz/taxi-pizza
Pizza,Woodpecker Bouzareah,$,4.5,https://food.jumia.dz/restaurant/a0em/woodpecker-bouzareah
Cuisine Orientale,Turcomania,$$,3.6,https://food.jumia.dz/restaurant/a1ku/turcomania
Burger,Home Burger,$,0,https://food.jumia.dz/restaurant/a9gs/home-burger
Cuisine Algérienne Cuisine Traditionnelle,L'Aparté Fait Maison,$$,3.9,https://food.jumia.dz/restaurant/a0yr/l-aparte-fait-maison
Pizza Sandwichs Burger,Kiosque Pizza,$,3.7,https://food.jumia.dz/restaurant/a9di/kiosque-pizza
,Hellofood Test Restaurant 2,$,0,https://food.jumia.dz/restaurant/a8cp/hellofood-test-restaurant-2
